"countryCode","postalCode","city","state","stateShort","countyProvince","countyProvinceShort","community","communityShort","latitude","longitude","accuracy"
"MA","91073","Iouane","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","34.9363","-4.7794","1"
"MA","91102","Bni Ahmed","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.1064","-4.9389","1"
"MA","91122","El Melha","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.134","-5.3659","1"
"MA","91123","Bni Ahmed Gharbia","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.134","-5.3659","1"
"MA","91124","Mansoura","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.134","-5.3659","4"
"MA","91152","Mokrisset","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.0839","-5.0052","4"
"MA","91153","Jebha","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.2055","-4.6652","4"
"MA","91172","Bni Smih","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.1312","-4.6553","1"
"MA","91173","Amtar","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.2425","-4.7925","4"
"MA","91174","Ouaouzgane","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.0199","-4.5181","4"
"MA","91202","Zoumi","Tanger-Tetouan-Al Hoceima","01","Chefchaouen Province","151","","","35.0839","-5.0052","4"
"MA","94022","Bahraouiyne Tanja","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.7132","-5.6967","1"
"MA","94023","Bahriyne El Aouama","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.7132","-5.6967","1"
"MA","94025","El Borch","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.7132","-5.6967","4"
"MA","94026","Zoco Jemis De Anyera","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.7132","-5.6967","1"
"MA","94031","Hakkama","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.6548","-5.6836","4"
"MA","94053","Melloussa","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.737","-5.6314","4"
"MA","94122","Tarhremt","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.7877","-5.4709","4"
"MA","94152","Ksar Sghir","Tanger-Tetouan-Al Hoceima","01","Fahs-Anjra","227","","","35.8421","-5.5543","4"
"MA","92000","Larache","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.1932","-6.1557","4"
"MA","92002","Sebt Bni Garfet","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.1932","-6.1557","1"
"MA","92022","Arbaa Ayacha","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.3868","-5.8883","4"
"MA","92023","Sidi Ali","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.3035","-5.7799","1"
"MA","92024","Zaaroura","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.2201","-5.6715","4"
"MA","92052","Al Aouamra","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.2117","-5.9437","1"
"MA","92072","Zouada","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.0468","-6.0592","4"
"MA","92102","Khemis Sahel","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.2534","-6.0796","4"
"MA","92150","Ksar El Kebir","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.0004","-5.9038","4"
"MA","92172","Mecherah","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.1269","-5.9917","1"
"MA","92173","Souk Tolba","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.1269","-5.9917","1"
"MA","92202","Tatoufet","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.0327","-5.7738","4"
"MA","92252","Tlata Rissana","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.0327","-5.7738","1"
"MA","92272","Rissana Janoubia","Tanger-Tetouan-Al Hoceima","01","Larache","331","","","35.0327","-5.7738","1"
